UTR-2 one section northern sky survey. Averaged observational data at URAN-2, sections No. 5 and 6 of the southern UTR-2 antenna.

  RA2000(h)      DEC2000(deg)     T25(kK)          T20(kK)        T16.7(kK)       T14.7(kK)      

   14.00	   -13.00	  21.495	   25.958	   49.988	   52.197	  	 
   14.50	   -13.00	  23.019	   28.202	   55.537	   58.034	  	 
   15.00	   -13.00	  23.937	   31.190	   63.690	   66.359	  	 
   15.50	   -13.00	  24.903	   33.952	   65.983	   68.339	  	 
   16.00	   -13.00	  24.474	   34.874	   63.106	   80.728	  	 
   16.50	   -13.00	  26.026	   34.163	   65.757	   84.669	  	 
   17.00	   -13.00	  31.121	   41.654	   89.240	   97.901	  	 
   17.50	   -13.00	  36.085	   57.052	  130.909	  163.265	  	 
   18.00	   -13.00	  45.004	   76.164	  164.308	  188.834	  	 
   18.50	   -13.00	  46.482	   77.966	  171.128	  201.401	  	 
   19.00	   -13.00	  46.569	   84.123	  177.806	  190.194	  	 
   19.50	   -13.00	  36.805	   66.410	  141.735	  163.901	  	 
   20.00	   -13.00	  34.742	   60.695	  122.610	  139.817	  	 
   20.50	   -13.00	  29.476	   44.487	   98.919	  128.149	  	 
   21.00	   -13.00	  29.766	   36.088	   72.951	   98.433	  	 
   21.50	   -13.00	  26.807	   32.970	   63.720	   98.952	  	 
   22.00	   -13.00	  27.086	   30.182	   63.197	   90.508	  	 
   22.50	   -13.00	  25.363	   27.387	   60.095	   94.207	  	 
   23.00	   -13.00	  23.893	   25.951	   51.306	   77.886	  	 
   23.50	   -13.00	  25.113	   27.164	   52.571	   70.368	  	 
    0.00	   -11.00	  22.761	   25.040	   47.732	   58.942	  	 
    0.50	   -11.00	  22.015	   25.272	   47.277	   53.484	  	 
    1.00	   -11.00	  23.601	   25.396	   46.906	   49.885	  	 
    1.50	   -11.00	  23.003	   25.262	   47.159	   50.386	  	 
    2.00	   -11.00	  23.265	   26.222	   48.286	   49.107	  	 
    2.50	   -11.00	  22.260	   24.892	   47.342	   46.916	  	 
    3.00	   -11.00	  21.310	   22.624	   44.035	   45.318	  	 
    3.50	   -11.00	  20.795	   22.468	   43.927	   48.105	  	 
