UTR-2 one section northern sky survey. Averaged observational data at sections No. 5 and 6 of the southern UTR-2 antenna.

  RA2000(h)      DEC2000(deg)     T25(kK)          T20(kK)        T16.7(kK)       T14.7(kK)      T12.6(kK)        T10(kK)

    7.00	   -13.00	  22.014	   29.381	   55.504	   70.551	  118.842	  269.147	 
    7.50	   -13.00	  21.122	   27.578	   50.853	   64.022	  111.223	  269.920	 
    8.00	   -13.00	  18.925	   22.193	   41.702	   53.720	  103.165	  231.145	 
    8.50	   -13.00	  16.265	   18.205	   34.970	   44.589	   90.712	  187.354	 
    9.00	   -13.00	  15.508	   16.904	   32.115	   39.360	   80.717	  179.085	 
    9.50	   -13.00	  16.253	   17.460	   31.575	   37.468	   77.857	  174.664	 
   10.00	   -13.00	  16.695	   18.077	   33.459	   41.354	   80.099	  185.392	 
   10.50	   -13.00	  16.918	   19.320	   36.708	   47.592	   84.999	  216.276	 
   11.00	   -13.00	  17.282	   21.974	   39.083	   46.802	   83.426	  225.083	 
   11.50	   -13.00	  16.634	   20.591	   36.843	   44.541	   82.936	  230.336	 
   12.00	   -13.00	  17.004	   20.276	   37.184	   45.154	   82.098	  195.288	 
   12.50	   -13.00	  17.336	   21.254	   39.531	   47.633	   84.476	  194.809	 
   13.00	   -13.00	  17.150	   21.491	   40.644	   48.405	   90.031	  195.892	 
   13.50	   -13.00	  16.017	   21.870	   41.609	   49.769	   98.917	  206.612	 
   14.00	   -13.00	  17.054	   22.873	   44.231	   53.835	  113.434	  235.668	 
   14.50	   -13.00	  18.731	   25.082	   48.883	   61.838	  125.178	  261.778	 
   15.00	   -13.00	  19.471	   27.965	   58.521	   71.727	  133.436	  288.518	 
   15.50	   -13.00	  20.522	   32.411	   63.078	   72.306	  126.933	  273.389	 
   16.00	   -13.00	  20.839	   35.033	   58.660	   69.505	  120.788	  232.958	 
   16.50	   -13.00	  23.428	   33.495	   58.396	   74.804	  138.585	  239.468	 
   17.00	   -13.00	  28.732	   38.380	   76.434	   98.766	  183.127	  409.939	 
   17.50	   -13.00	  31.165	   53.732	  116.669	  141.122	  274.027	  621.799	 
   18.00	   -13.00	  36.407	   70.873	  145.902	  186.728	  393.204	  872.276	 
   18.50	   -13.00	  40.868	   87.393	  163.680	  267.603	  500.693	  982.593	 
   19.00	   -13.00	  45.486	   95.946	  184.960	  287.980	  562.822	 1091.812	 
   19.50	   -13.00	  37.328	   91.948	  197.872	  275.854	  614.372	 1186.014	 
   20.00	   -13.00	  39.975	   98.434	  197.054	  262.843	  615.722	 1184.901	 
   20.50	   -13.00	  33.518	   65.256	  159.657	  240.935	  556.789	 1166.641	 
   21.00	   -13.00	  34.395	   44.556	   97.400	  156.001	  486.213	  962.496	 
   21.50	   -13.00	  28.420	   38.883	   78.685	  148.054	  432.942	  961.538	 
